id,ideia,categoria,descricao,paises,links,preco_observado,n_anunciantes,dias_anuncio_ativo_mais_antigo,variacoes_max,contagem_busca,saturacao_es_vs_pt,angulo_anuncio,sinais,eliminatoria_suspeita_fase1,fontes,eliminada,motivo_eliminacao,links_busca_adlibrary
L11,Moldes de caixinhas e cajas escenario para montar kits de presente,Kit imprimível de embalagens,"De 40 a mais de 300 moldes (PDF e Canva) de caixinhas, cajitas dulceras e cajas escenario, para transformar cosméticos e doces em kits de presente.","PE, AR, CO, MX, US; BR",https://www.facebook.com/ads/library/?id=1087199917345042 | https://www.facebook.com/ads/library/?id=1109426881423561 | https://www.facebook.com/ads/library/?id=2078295209485127 | https://www.facebook.com/ads/library/?id=1097880062567915 | https://www.facebook.com/ads/library/?id=1058112110287060 | https://www.facebook.com/ads/library/?id=2986895848313204,"US$2–2,7 (S/10; '+300 Moldes' US$2)",6,"25,0 (Veronica Ventas/MX); Carojo 325,6 com produto incerto",19,'moldes cajas para vender' = 60; 'moldes de cajas para imprimir' = 48; 'cajitas personalizadas moldes para vender' = 20,Média nas duas línguas.,Resultado de uso ('Vende más armando Kits de Regalo') e produto.,"Mi Masterclass Online tem 19 anúncios ('Transforma tus cosméticos en Regalos Premium'). Packs & Moldes Pro está há 24,4 d. Moldes Cajas Decorativas tem 5 anúncios há 23,2 d.",E4 leve (moldes compilados). Ticket muito baixo. Pode virar order bump do L10.,fase1_meta_kits; meta_artesanato_recetas_proveedores_templates_ES; brasil_espelho,não,"Passa. O ângulo é o resultado de uso ('Transforma tus cosméticos en Regalos Premium'), sem valor em dinheiro. O custo marginal é zero e umas 40 facas em PDF e Canva saem em 14 dias. O ticket de US$2 é baixo, mas isso não elimina (serve de order bump do L10). Evitar moldes compilados de terceiros.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=moldes%20cajas%20para%20vender&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=moldes%20de%20cajas%20para%20imprimir&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=cajitas%20personalizadas%20moldes%20para%20vender&search_type=keyword_unordered
L12,Mega pack de topos de bolo prontos para imprimir,Pack digital / festa,"Milhares de topos de bolo por tema (personagens, datas, profissões) em PDF e PNG, para a festa própria ou para vender.","BR validado; na ES, MX e US com 1–2 anunciantes digitais",https://www.facebook.com/ads/library/?id=1579502953724620 | https://www.facebook.com/ads/library/?id=2155772475373199 | https://www.facebook.com/ads/library/?id=1786235355717907,"BR R$1,49 (20 mil topos, front-end); R$3,99 (Kit Festa na Mesa)",4,"33,5 (BR); ES 33,1 (Activa Academy)",10,BR 'topo de bolo' = 1.307; ES 'toppers para pastel' = 55; 'cake topper editable' = 0,ES pouco explorada; BR validada.,Festa pronta ou vender topos,"Na ES, o digital se resume a Emilia Creativa (2 anúncios há 11,5 d) e Activa Academy. A maior parte dos anúncios de topper é de confeitaria física.",E2 parcial. E4 se virar PLR. PI com personagens.,brasil_espelho,não,"Passa com ressalvas. Há ângulo duplo observado (festa pronta ou vender topos, também como insumo de confeiteira), a demo não precisa de promessa, o custo marginal é zero e um pack original feito com IA sai em 14 dias. Alerta: a oferta observada (20 mil topos por R$1,49) é compilação PLR de personagens licenciados. Sem conteúdo original cai em E4 e em PI.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=topo%20de%20bolo&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=toppers%20para%20pastel&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=cake%20topper%20editable&search_type=keyword_unordered
L13,Papelaria de casamento editável no Canva,Kit editável (boda),"Convite, save the date, menu, placas e tags combinando, editáveis no celular. Upsell: convite interativo.",BR validado; ES: AR e US (clone recém-lançado),https://www.facebook.com/ads/library/?id=1313617404312022 | https://www.facebook.com/ads/library/?id=1029262369937208 | https://www.facebook.com/ads/library/?id=1090593597009231 | https://hotmart.com/pt-br/marketplace/produtos/kit-de-papelaria-de-casamento-editavel-canva/Q105352299G,"BR R$19,90–67",5,"88,9 (Canva Para Noivas, BR)",35,ES 'papelería de boda' = 48,ES pouco explorada (o primeiro clone acabou de entrar); BR validada.,Economia e estética,"Canva Para Noivas tem 35 anúncios e vários ângulos ('é barato mas tem cara de caro'). O clone ES 'Canva para novias' tem 6 anúncios há 0,3 d.",Nenhuma óbvia. Teto limitado ao público de noivas.,brasil_espelho,sim (E0),"Fora do escopo: como observado ('Canva Para Noivas', ângulo 'barato mas com cara de caro'), a noiva compra para usar no próprio casamento. Não há ângulo de revenda nos anúncios. E1 a E5 estariam ok.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=papeler%C3%ADa%20de%20boda&search_type=keyword_unordered
L14,"Kit de jogos imprimíveis para chá de bebê, despedida de solteira e festa",Kit imprimível,"De 3 a 6 jogos editáveis (caça-palavras, 'quem conhece mais a noiva', stop, caça ao tesouro) com instruções.",BR validado; ES e US sem evidência paga,https://www.facebook.com/ads/library/?id=1422855243093646 | https://www.facebook.com/ads/library/?id=1358522556271677 | https://estudiocreatus.com.br/produto/kit-com-6-brincadeiras-de-cha-de-lingerie-preto-e-vermelho/ | https://www.elo7.com.br/lista/kit-de-brincadeiras-cha-de-lingerie | https://www.facebook.com/ads/library/?id=1636605181316151 | https://www.facebook.com/ads/library/?id=2037485336833447,não verificado,1 (BR: Chá de Langerie Pronto),"38,2 (BR)",8,ES 'juegos para baby shower' = 451 (ruído); 'juegos para despedida de soltera' = 27; US 'baby shower games printable' = 2,"ES pouco explorada, com demanda não verificada.",Festa pronta sem esforço,"Na ES, as buscas trouxeram zero kits digitais. Nos EUA, o canal provável é Etsy e Pinterest (não verificado).",Nenhuma. Teto baixo (nicho de evento).,brasil_espelho; fase1_global,sim (E0),Fora do escopo: quem compra é a anfitriã da própria festa (ângulo 'festa pronta sem esforço'). Na ES não apareceu ângulo de revenda; o Elo7 só mostra o vendedor final.,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=juegos%20para%20baby%20shower&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=juegos%20para%20despedida%20de%20soltera&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=baby%20shower%20games%20printable&search_type=keyword_unordered
L15,Etiquetas escolares e kit de volta às aulas editável,Papelaria editável escolar,"Etiquetas com o nome da criança, capas de caderno e horários, para uso próprio ou para vender personalizados.","MX, CO, AR, US",https://www.facebook.com/ads/library/?id=2229308641185714 | https://www.facebook.com/ads/library/?id=1270026136202268 | https://www.facebook.com/ads/library/?id=2136273693942468 | https://www.facebook.com/ads/library/?id=1651569109650285 | https://www.facebook.com/ads/library/?id=1117380270719232,"MXN 89 (~US$4,8)",5,"12,4 (Diseña Creativo); Espacio Creativo 82,4 com oferta incerta",14,'etiquetas escolares editables' = 49,não verificado,Preço baixo,Diseña Creativo tem 6 anúncios ('solo $89 MXN'). Universo Kids tem 4.,E3 parcial (venda por WhatsApp). Sazonal.,fase1_meta_kits; meta_artesanato_recetas_proveedores_templates_ES,não,"Sobrevive com ângulo duplo real: a mãe usa, e a empreendedora vende etiquetas personalizadas. O E3 da Fase 1 vem da personalização manual por WhatsApp dos anunciantes; um kit ou editor onde a compradora digita o nome tem custo marginal zero. É sazonal e o calendário escolar muda por país.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=etiquetas%20escolares%20editables&search_type=keyword_unordered
L16,Agendas e planners 2027 editáveis para imprimir e vender,Papelaria editável sazonal,"Agendas 2027 (PowerPoint ou Canva) com capas personalizáveis e datas automáticas, para imprimir, encadernar e vender.","AR, MX, CO, CL, PE, US",https://www.facebook.com/ads/library/?id=2232346370955983 | https://www.facebook.com/ads/library/?id=1560138291980476 | https://www.facebook.com/ads/library/?id=890363020676719 | https://pay.hotmart.com/N96421608B | https://pay.hotmart.com/Y105994330R | https://pay.hotmart.com/M102998773E,"US$3,90 (Hotmart); CLP 3.500",10,"6,2 (pico sazonal)",12,'agendas 2027 para vender' = 107,ES média a alta nesta temporada.,Produto pronto com revenda,"Inu studio tem 12 anúncios ('Elegí, imprimí, vendé'). Jirafa Creativa tem 7 e Mundo Agendas 5. A janela sazonal (set–jan) está aberta.",Sazonal. E2 leve.,fase1_meta_kits; fase1_hotmart_es,não,"Sobrevive: 'Elegí, imprimí, vendé' mostra o produto (capas personalizáveis, datas 2027) sem citar valor. A licença é para imprimir e vender a agenda física, não os arquivos, então não é E4. Custo marginal zero e dá para montar em 14 dias. É sazonal (set–jan) e a janela está aberta agora.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=agendas%202027%20para%20vender&search_type=keyword_unordered
L17,Planner digital (PDF hiperlinkado / GoodNotes) e templates de Notion,Template / planner,"Planner 2027 digital com abas clicáveis e stickers digitais, ou workspace pronto de Notion duplicado com 1 clique. Bumps por público (professora, empreendedora, finanças).","US, CA, IN; ES: MX, CL. Notion: US, IN.",https://www.facebook.com/ads/library/?id=1066876329290262 | https://www.facebook.com/ads/library/?id=1553382629922036 | https://www.facebook.com/ads/library/?id=4063908807246549 | https://www.facebook.com/ads/library/?id=2809259032789250 | https://www.facebook.com/ads/library/?id=1661567358725931 | https://www.facebook.com/ads/library/?id=1558452698928843,"US$4,99 (Daily Thrive); CLP 3.500; Notion não verificado",6 (planner digital); 3 (Notion),"Planner: não verificado. Notion: 1,2.",3,US 'digital planner' = 887 (ruído); 'planner digital' ES6 = 1.074 (ruído); US 'Notion template' = 136,Fraca nas duas línguas. Notion em ES não rodado.,Organização e ferramenta,"A demanda paga é fraca nos dois lados. Anunciantes relevantes: Emery, TeacherPlannerhq, Meraki.planners, Mundo Digital. Em Notion a demanda paga também é fraca. Fundida com a antiga L55 (templates de Notion).",Nenhuma. Pouco diferenciável. Notion: público pequeno na LATAM (não verificado).,fase1_global,sim (E0),"Fora do escopo: planner digital e Notion servem à organização pessoal de quem compra. Os bumps por público (professora, empreendedora, finanças) também são de uso próprio. Não há ângulo de revenda observado.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=digital%20planner&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=planner%20digital&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=Notion%20template&search_type=keyword_unordered
L18,"App/biblioteca de stickers prontos para vender, com montador de folha e calculadora de preço (inclui nicho cristão)",Ferramenta + biblioteca de designs,"App web com mais de 8.000 stickers para imprimir e cortar, montagem de folha para reduzir desperdício e precificação. Há variantes por nicho (stickers bíblicos e católicos, papelaria cristã para batizado, 1ª comunhão e datas religiosas).","AR e UY (voseo), MX, CO, PE (USD); nicho cristão com anunciantes BRL em ES (países não identificados)",https://www.facebook.com/ads/library/?id=1003636949331535 | https://www.facebook.com/ads/library/?id=2197892240793228 | https://www.facebook.com/ads/library/?id=2666960917071477 | https://www.facebook.com/ads/library/?id=1375706314718612 | https://pay.hotmart.com/K94892563U | https://pay.hotmart.com/H94786552K | https://www.facebook.com/ads/library/?id=1123414036931102 | https://www.facebook.com/ads/library/?id=2164694427443278 | https://www.facebook.com/ads/library/?id=1127273063289294,"Super Pack 3000 Stickers US$3,90 (Hotmart); app não verificado; nicho cristão não visto","5; mais 2 no nicho cristão (Papelería Cristiana e Luciana Cross, BRL)","74,7 ('Stickers para vender'); nicho cristão 1,5",17,'stickers para vender' = 373; 'regalos digitales para vender' = 76 (2 anunciantes do nicho cristão),não verificado,"Ferramenta e produto, com a promessa 'empezá a vender'. No nicho cristão, oportunidade de negócio ('Empieza con papelería cristiana').","Os anúncios usam ângulos de ferramenta: 'Mirá cómo funciona la app', 'No cobres tus stickers a ojo'. Mega ventas (stickers bíblicos) tem 17 anúncios. No nicho cristão, Papelería Cristiana (BRL) tem 5 anúncios há 1,5 d ('Empieza con papelería cristiana') e Luciana Cross (BRL) tem 7 há 1,5 d ('150 adhesivos católicos para imprimir'). São anunciantes novos; a evidência cristã é fraca, mas é o único ângulo de renda extra do cluster cristão (ver L57 e L58). Sobrepõe-se também ao L10.","E2 moderada. E5 viável. É a oferta de ferramenta mais próxima deste território. No nicho cristão, E2 leve se o anúncio prometer ganho.",fase1_meta_kits; fase1_hotmart_es; lacunas,não,"Sobrevive: o núcleo é ferramenta (montador de folha e calculadora de preço), e os anúncios observados já usam ângulo de ferramenta ('Mirá cómo funciona la app', 'No cobres tus stickers a ojo'). A biblioteca pode ser gerada por IA uma única vez (~US$0,01–0,04 por imagem, custo fixo, marginal zero), mas precisa evitar personagens licenciados. A variante cristã é o mesmo produto.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=stickers%20para%20vender&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=regalos%20digitales%20para%20vender&search_type=keyword_unordered
L19,"Pack de designs para sublimação e DTF (canecas, termos, camisetas)",Pack de designs para personalização,"Milhares de artes em PNG, PSD e CDR por tema e data, prontas para sublimar. Há variantes com ferramenta (ação de meio-tom, mockup).","MX, AR, CO, CL, PE, US; BR",https://www.facebook.com/ads/library/?id=28434580712876917 | https://www.facebook.com/ads/library/?id=1080833241314673 | https://www.facebook.com/ads/library/?id=1653470799480779 | https://www.facebook.com/ads/library/?id=936941819469646 | https://pay.hotmart.com/D105211812J | https://pay.hotmart.com/Y105336046F,"US$4–19,99 (moda US$5–10); Pixelpack US$9,99; MXN 99; BR R$19,90–39,90",12,"10,5 (Mundo Diseño); 28,8 contando a Envinil (vinil, ver L20)",19,'diseños para sublimar' = 187–189; 'plantillas para tazas sublimación' = 109; 'sublimación' = 3.013; BR 'artes para sublimação' = 280,Saturada nas duas línguas.,"Quantidade e urgência ('+500.000 diseños', 'HOY SE TERMINA')",Há pelo menos 12 páginas. A Hotmart tem 10 produtos. Mundo Diseño tem 19 anúncios ('Semitono en segundos').,E4 provável (packs reempacotados). Alto risco de PI.,fase1_meta_kits; meta_artesanato_recetas_proveedores_templates_ES; brasil_espelho; fase1_hotmart_es,sim (E4),"Como observado, é pack PLR compilado com arte de terceiros ('+500.000 diseños', o mesmo pack em 12 páginas e 10 produtos na Hotmart). A Hotmart reprova produto repetido e PLR compilado, e o risco de PI é alto. A âncora de quantidade só se atinge revendendo PLR.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=dise%C3%B1os%20para%20sublimar&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=plantillas%20para%20tazas%20sublimaci%C3%B3n&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=sublimaci%C3%B3n&search_type=keyword_unordered
L20,Arquivos de corte prontos: SVG para vinil/Cricut/Silhouette e DXF para laser/MDF (+2.100 moldes),Pack de arquivos de corte,"Biblioteca SVG e PNG para cortar vinil e personalizar camisetas, copos e presentes, e vetores DXF e SVG para laser e CNC (caixas, topos, luminárias). Quem tem máquina produz e vende.","MX, CO, PE, CL, US; BR",https://www.facebook.com/ads/library/?id=1714998096427753 | https://www.facebook.com/ads/library/?id=1741139417615425 | https://www.facebook.com/ads/library/?id=1534654041701341 | https://www.facebook.com/ads/library/?id=1616421980278560 | https://www.facebook.com/ads/library/?id=949502674113165 | https://soyangelyc.com/ | https://www.facebook.com/ads/library/?id=1079214044920568 | https://www.facebook.com/ads/library/?id=966536022487268 | https://www.facebook.com/ads/library/?id=1117671573961502 | https://www.facebook.com/ads/library/?id=1114178547856206 | https://pay.hotmart.com/J96839406U | https://pay.hotmart.com/O105952553L,"Vinil: MXN 197 (~US$10,7); 'Todo por $9.90' MXN. Laser: não verificado.",4 (vinil/Cricut); 12 (laser/MDF),"181 (Diseño MX, vinil); Angelyc's 139,7 ou mais; laser 7,4",53,'archivos de corte cricut' = 15; 'archivos para corte láser' = 126; BR 'arquivos de corte' = 353,Laser: saturada nas duas línguas. Vinil: não verificado.,Quantidade e prova social (vinil); promessa de ganho e produto (laser).,"Angelyc's Workshop tem 53 anúncios ('+7818 Personas compraron'). Envinil tem 5 anúncios há 46,5 d. No laser, Paquete De Diseños tem 32–33 anúncios em ondas e CreatiMía tem 8. No BR, Biblioteca do Corte tem 18. Fundida com a antiga L21 (arquivos de corte a laser/MDF).",E1 (a Angelyc é uma marca de expert com cursos). E4 e PI prováveis. E2 ('Pon tu máquina a trabajar'). Público restrito a quem tem plotter ou máquina de corte.,fase1_meta_kits; brasil_espelho,sim (E5),"Uma biblioteca original de +2.100 arquivos de corte não sai em 14 dias: o DXF de laser precisa de encaixe por espessura e teste em máquina, e a IA não resolve isso. O que se vê no mercado são compilações PLR com risco de PI (E4). O E1 da Angelyc vale só para um anunciante.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=archivos%20de%20corte%20cricut&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=archivos%20para%20corte%20l%C3%A1ser&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=arquivos%20de%20corte&search_type=keyword_unordered
L22,"Pack sazonal 'o que vender nesta data' (Día de la Madre, Halloween, Navidad)",Kit sazonal para vender,"Designs e lembrancinhas prontas por data comercial, renovados a cada data.","AR, PE, CO, MX, US; BR",https://www.facebook.com/ads/library/?id=1050530871372346 | https://www.facebook.com/ads/library/?id=1362605046086805 | https://www.facebook.com/ads/library/?id=1632288341805543 | https://www.facebook.com/ads/library/?id=1523685253249472 | https://www.facebook.com/ads/library/?id=1110358568012679 | https://pay.hotmart.com/B105630358A,US$6 (Kit Muestra de Fin de Año),7,"8,7 (PP Studio); Navidad Creativa 33,4, mas o anúncio antigo é de curso","47 (Navidad Creativa, mistura com curso)",'navidad para vender diseños' = 270,Média nas duas línguas.,O que vender na data,"PP Studio tem 11 anúncios ('Quien se adelanta, vende con más tiempo'). Navidad Creativa (COP) tem 47. No BR, Flor de Cactos anuncia 'Arquivos Prontos pra Vender'.",E2 moderada. E1 parcial. Sazonal.,fase1_meta_kits; brasil_espelho,não,"Sobrevive: um kit de moldes e designs por data (cajitas, tags, toppers) com licença para produzir é demonstrável na tela. O ângulo 'Quien se adelanta, vende con más tiempo' não cita valor. O E1 parcial vale só para a Navidad Creativa, que vende curso. É sazonal (a janela de Navidad abre agora) e se sobrepõe a L16 e L19.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=navidad%20para%20vender%20dise%C3%B1os&search_type=keyword_unordered
L23,"Mega pack de moldes de feltro e goma EVA/foamy (800 a 2.500 PDF), com variante natalina",Pack de moldes para artesanato,"Moldes em PDF para feltro e EVA (flores, personagens, datas), para a artesã vender ou para a professora usar em sala. Variante sazonal: moldes e padrões de Natal (feltro, EVA, crochê, porta-copos) para produzir e vender no fim do ano.","PE, BO, CO, MX, CL, US",https://www.facebook.com/ads/library/?id=1862851984699832 | https://www.facebook.com/ads/library/?id=1975741066445753 | https://www.facebook.com/ads/library/?id=2199268927598296 | https://www.facebook.com/ads/library/?id=1091211326713642 | https://kitmoldeseva.site/ | https://hotmart.com/es/marketplace/productos/megapack-moldes-foamy-2023/F80990841T | https://www.facebook.com/ads/library/?id=4658212711078060 | https://www.facebook.com/ads/library/?id=1121049337157661 | https://www.facebook.com/ads/library/?id=1432152345461217 | https://hotmart.com/es/marketplace/productos/super-pack-500-moldes-navidenos/L102688129M | https://hotmart.com/es/marketplace/productos/pack-de-dibujos-y-letras-de-navidad/M102382855E,"US$2,7–3,99 (S/10–12,90; 19 Bs); CLP 3.000–7.000; natalinos não verificado","5 (feltro/EVA); natalinos não verificado (3 ou mais páginas citadas: Aprende en casa, Tejidos y Crochet, Cleo Cursos)","5,4 (limite inferior; páginas com 50+ anúncios); natalinos não verificado",212 (Aprende en casa),'moldes goma eva' = 62; natalinos não verificado,"ES: alta, pelo volume de anúncios.","Quantidade e preço, com renda ou uso; no Natal, 'hacer y vender'.",Aprende en casa tem 212 anúncios ativos ('+800 Moldes Fieltro'). Cinco páginas rodam a mesma oferta '+2000 moldes'. Os ângulos alternam entre 'para vender' e 'para tu aula'. O sinal natalino já aparece em setembro. Cleo Cursos anuncia '20 PATRONES DE POSAVASOS + BONO DE NAVIDAD'. Há vários packs natalinos na Hotmart. Fundida com a antiga L24 (moldes natalinos).,E4 e PI prováveis. E2 moderada. Demonstração em tela fraca. A variante natalina é sazonal e longe do DNA de ferramenta.,fase1_meta_kits; meta_artesanato_recetas_proveedores_templates_ES; demanda,sim (E5),"Não dá para produzir sozinho, em 14 dias, 800 a 2.500 moldes originais de feltro e EVA com peças separadas; a IA não faz isso de forma confiável. A mesma oferta '+2000 moldes' roda em 5 páginas, o que indica PLR revendido com risco de PI (E4). Parte do público é a professora, que usa em sala.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=moldes%20goma%20eva&search_type=keyword_unordered
L25,"Pack de moldes de costura em PDF (feminino, infantil, pet, bolsas)",Moldes de costura,De 200 a 1.500 moldes em tamanho real por download. Há um ângulo emocional ('Osito de la Memoria').,"CO, CL, PE, MX, CR, US",https://www.facebook.com/ads/library/?id=909768015290442 | https://www.facebook.com/ads/library/?id=2471122273412389 | https://www.facebook.com/ads/library/?id=1088854613831124 | https://www.facebook.com/ads/library/?id=2813161522391035 | https://pay.hotmart.com/X61954338R | https://pay.hotmart.com/K105391759T,"CLP 3.000 (~US$3,2); US$4–19,99 (Hotmart US$6,90, 9,90, 14,99)",7,"26,3 (Alma Costurera)",153,'moldes de costura' = 873; 'moldes de ropa' = 508,"ES: alta, pelo volume.","Produto ('200+ patrones', 'DESCARGAR')",Entre Mujeres tem 153 anúncios ativos. 1500 Moldes de Costura tem 113. Os lotes são criados a cada 1–2 dias. A Hotmart tem 9 produtos.,E4 e PI (packs compilados). E5 (moldes graduados próprios são difíceis de fazer). E1 se vier com curso.,meta_artesanato_recetas_proveedores_templates_ES; fase1_hotmart_es,sim (E5),"Moldes de costura graduados em tamanho real exigem modelagem técnica. Uma biblioteca original de 200 a 1.500 moldes não sai em 14 dias, e os packs observados são compilações com risco de PI e PLR repetido (E4).",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=moldes%20de%20costura&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=moldes%20de%20ropa&search_type=keyword_unordered
L26,Pack de patrones de crochê/amigurumi em espanhol (+1.000 PDF),Artesanato em PDF (crochê),Patrones verificados em espanhol com bônus. Uma variante vende em formato app por assinatura.,"CL, CO, MX, GT, PE, US; operadores BRL",https://www.facebook.com/ads/library/?id=1447476493893273 | https://www.facebook.com/ads/library/?id=1427378629334609 | https://www.facebook.com/ads/library/?id=1432152345461217 | https://www.facebook.com/ads/library/?id=1837920730745406 | https://hotmart.com/es/marketplace/productos/1-000-patrones-de-amigurumis/F100091725Q | https://pay.hotmart.com/H99738190G,"US$9,90–20 (Hotmart); Q40 (~US$5,2); app US$1/mês",8,"0,5 (todos rotam criativos)",9,'amigurumi patrones' = 339–353; 'patrones crochet pdf' = 202,ES: alta.,Produto e prova social; parte vende renda,Hoshihana anuncia '+6.000 Patrones'. Giulia Moretti mostra '+2.632 reseñas'. Um ângulo bom é o PDF contra o vídeo ('con las manos ocupadas'). A Hotmart tem 9 produtos.,E4 e PI prováveis. E2 parcial.,meta_artesanato_recetas_proveedores_templates_ES; fase1_hotmart_es,sim (E5),"Cada padrão de amigurumi precisa ser desenhado e testado à mão. A IA gera padrões quebrados, então +1.000 padrões originais em 14 dias é inviável. Os packs observados traduzem ou compilam autores terceiros (PI/E4), e boa parte do público é hobby, de uso próprio.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=amigurumi%20patrones&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=patrones%20crochet%20pdf&search_type=keyword_unordered
L27,Receitas de sobremesas para vender com custo calculado (inclui receituário sazonal de Natal e conservas),Receitas para vender,"Ebook de mini postres, postres en vaso, tiramisú coreano e paletas, com custo por porção e preço sugerido. Variante sazonal: receitas de Natal ou conservas para produzir e vender, com planilha de custos e preços.","MX, CO, AR, PE, CL, BO, US",https://www.facebook.com/ads/library/?id=1418570293571960 | https://www.facebook.com/ads/library/?id=2132493034287794 | https://www.facebook.com/ads/library/?id=28954269907510218 | https://www.facebook.com/ads/library/?id=1403402902003047 | https://hotmart.com/es/marketplace/productos/100-recetas-de-postres-rentables-para-emprender-desde-casa/T103881974V | https://pay.hotmart.com/K105541910U | https://www.facebook.com/ads/library/?id=1392173199187558 | https://www.facebook.com/ads/library/?id=1410450964376310 | https://www.facebook.com/ads/library/?id=862592030152241,"US$1,4–9 (S/5; CLP 2.500; '100 Recetas por $9 USD'); sazonal não verificado",20 (sobremesas); sazonal: não verificado (3 páginas citadas),"7,5; sazonal não verificado",32,'postres para vender' = 977–1.120; 'recetas para vender' = 3.042; sazonal não verificado,ES: saturada.,"Ebook, com ângulo de vender em casa; no sazonal, negócio de fim de ano.","Chef Eli tem 32 anúncios, em teste de criativos. É a concorrência mais densa desta fase. O modelo 'Primero recibes y luego pagas' é dominante. No sazonal, o sinal é fraco: 'El Sabor de la Nochebuena' teve 4 anúncios em dez/2025; Academia Dulce Emprende e Chef Camila (conservas) anunciam hoje. Fundida com a antiga L28 (receituário sazonal).",E3 no modelo de pagar depois pelo WhatsApp. E2 moderada. E1 parcial. A variante sazonal tem pouca diferenciação.,meta_artesanato_recetas_proveedores_templates_ES; fase1_hotmart_es; demanda,não,"Ebook PDF sem custo marginal e sem expert gravando. Dá para anunciar com honestidade mostrando as sobremesas e a ficha de custo e preço por porção, sem 'gana $X'. O risco E2 é moderado porque o nicho abusa de promessa de renda (Meta MÉDIO). O 'paga depois pelo WhatsApp' é modelo de venda opcional, então E3 não se aplica na Hotmart.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=postres%20para%20vender&search_type=keyword_unordered | https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=recetas%20para%20vender&search_type=keyword_unordered
L29,"Calculadora de custos e preços para quem vende em casa (confeitaria, restaurante, artesanato)",Ferramenta (planilha ou web app),"A pessoa digita ingredientes e margem e recebe custo unitário, preço e lucro. Pode ser dividida por nicho.","US hispano, CO, MX, PE",https://www.facebook.com/ads/library/?id=1057383214053948 | https://www.facebook.com/ads/library/?id=2972385876428289 | https://www.facebook.com/ads/library/?id=2195610874318293 | https://www.facebook.com/ads/library/?id=1089104103530989 | https://pay.hotmart.com/N99160088C | https://pay.hotmart.com/P83579553T,US$5–10 (Hotmart); S/19 (~US$5); GastroKit US$57 (bundle),5,"17,3 (Excel para Restaurantes Perú)",15,'calculadora de precios emprendedores' = 35,"ES: pouca concorrência, nicho pequeno.","Ferramenta e alívio de dor, sem promessa de renda.",Latinas Together tem 13 anúncios com ângulos de dor ('Deja de cobrar con miedo'). Excel para Restaurantes tem 15. A Hotmart tem 10 ou mais listagens.,Nenhuma forte. E5 ok.,meta_artesanato_recetas_proveedores_templates_ES; fase1_hotmart_es,não,"Ferramenta que se demonstra por gravação de tela. O anúncio observado usa dor ('deja de cobrar con miedo'), sem promessa de renda. Custo zero por venda, e o Lovable monta em poucos dias. Está no escopo porque serve quem produz e vende em casa; melhor priorizar confeitaria e artesanato, não restaurante estabelecido.",https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=MX&q=calculadora%20de%20precios%20emprendedores&search_type=keyword_unordered
